Baseline 100%T,,Volume dithionite-0,,Volume dithionite-1,,Volume dithionite-2,,Volume dithionite-3,,Volume dithionite-4,,Volume dithionite-5,,Volume dithionite-6,,Volume dithionite-7,,Volume dithionite-8,,Volume dithionite-9,,Volume dithionite-10,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
757.9907227,0.01733220182,757.9907227,0.03849974647,757.9907227,0.0386120528,757.9907227,0.04224418476,757.9907227,0.04400049895,757.9907227,0.04146745428,757.9907227,0.04262097925,757.9907227,0.03893003985,757.9907227,0.04512143135,757.9907227,0.04455142468,757.9907227,0.04287048057,757.9907227,0.04603816941,
757.0002441,0.01692102291,757.0002441,0.03731825575,757.0002441,0.03829571232,757.0002441,0.04243720695,757.0002441,0.04472533241,757.0002441,0.04249672219,757.0002441,0.04222669452,757.0002441,0.04040095583,757.0002441,0.04494831339,757.0002441,0.0446819216,757.0002441,0.04401860386,757.0002441,0.04674735665,
756.0094604,0.01767420396,756.0094604,0.0386678502,756.0094604,0.0375328362,756.0094604,0.04256330058,756.0094604,0.04319383204,756.0094604,0.04233429208,756.0094604,0.04119829088,756.0094604,0.03936597705,756.0094604,0.04487884417,756.0094604,0.04448373988,756.0094604,0.04278585687,756.0094604,0.04598104209,
754.9829102,0.01684122905,754.9829102,0.03870596737,754.9829102,0.03834262118,754.9829102,0.04254605621,754.9829102,0.04366587102,754.9829102,0.04087980837,754.9829102,0.04366801679,754.9829102,0.04053194076,754.9829102,0.04499588534,754.9829102,0.04446653277,754.9829102,0.04391382262,754.9829102,0.04594159126,
753.991394,0.01704091579,753.991394,0.03814988211,753.991394,0.03726624325,753.991394,0.04214237258,753.991394,0.04341960326,753.991394,0.04265384749,753.991394,0.0421224907,753.991394,0.03926115111,753.991394,0.04473193362,753.991394,0.04397632182,753.991394,0.0428394787,753.991394,0.04642244801,
752.9994507,0.01603853516,752.9994507,0.03920678049,752.9994507,0.03908542544,752.9994507,0.04272410274,752.9994507,0.04354615137,752.9994507,0.04240329936,752.9994507,0.04340841621,752.9994507,0.04102482274,752.9994507,0.04645784944,752.9994507,0.04532904178,752.9994507,0.04372154549,752.9994507,0.04604306072,
752.0072632,0.01641473547,752.0072632,0.03914343566,752.0072632,0.03876582533,752.0072632,0.04333721846,752.0072632,0.04451425374,752.0072632,0.04173766449,752.0072632,0.04255456477,752.0072632,0.04029619321,752.0072632,0.04446166009,752.0072632,0.04431061819,752.0072632,0.04334926233,752.0072632,0.04724602029,
751.0147095,0.01630622149,751.0147095,0.03849123046,751.0147095,0.03926327825,751.0147095,0.04230393097,751.0147095,0.04416194931,751.0147095,0.04251276702,751.0147095,0.04357416928,751.0147095,0.0403791368,751.0147095,0.04570236802,751.0147095,0.04477750137,751.0147095,0.04270331189,751.0147095,0.04607302323,
749.9862671,0.0159949977,749.9862671,0.03952018544,749.9862671,0.03864006326,749.9862671,0.04288807884,749.9862671,0.04454895854,749.9862671,0.04355107248,749.9862671,0.04413197562,749.9862671,0.04031848907,749.9862671,0.04630726576,749.9862671,0.04471959546,749.9862671,0.0438182056,749.9862671,0.04712643474,
748.992981,0.01615227386,748.992981,0.03826218471,748.992981,0.03775957972,748.992981,0.04230530187,748.992981,0.0448898375,748.992981,0.04139147699,748.992981,0.04358003661,748.992981,0.04097349942,748.992981,0.04593871161,748.992981,0.04578281194,748.992981,0.04231734201,748.992981,0.04722858965,
